Ticker,Sector,P/E,FreeCashFlow,SharpeRatio,FreeCashFlow_Pos,FreeCashFlow_Log,P/E_Pos,FreeCashFlow_Score,P/E_Score_raw,P/E_Score,SharpeRatio_Score,FinalScore,Rank
NVDA,,50.16949,52436750336.0,1.1538352377522259,52436750336.0,24.68287352475698,50.16949,0.9248901642330095,0.09892858124390125,0.9010714187560988,0.6100535978868623,0.8232935706860921,1
AAPL,,37.31003,94873747456.0,0.5630856139783543,94873747456.0,25.2758128705408,37.31003,1.0,0.07061456462749055,0.9293854353725095,0.44248793647580925,0.8115620115544957,2
MSFT,,38.027164,61070376960.0,0.5660521857154955,61070376960.0,24.83529275676761,38.027164,0.9441976761487783,0.07219355348022567,0.9278064465197743,0.4433294021919984,0.789019825073043,3
GOOG,,27.24013,49786499072.0,0.5649018688953235,49786499072.0,24.631009681270164,27.24013,0.9183203779736911,0.04844261371154275,0.9515573862884572,0.4430031157399259,0.7856963017979913,4
GOOGL,,27.184631,49786499072.0,0.5620045792258231,49786499072.0,24.631009681270164,27.184631,0.9183203779736911,0.04832041576480205,0.9516795842351979,0.4421813018271758,0.7854864170081886,5
PGR,,13.660654,13717175296.0,1.1275139270894603,13717175296.0,23.341914555904655,13.660654,0.7550258962653837,0.018543262641890497,0.9814567373581095,0.6025875790306229,0.7772236534227732,6
AVGO,,88.44615,23096750080.0,1.3745753117626645,23096750080.0,23.862957755442316,88.44615,0.8210283793575575,0.18320630264594323,0.8167936973540568,0.6726663444937776,0.7752493642973732,7
BRK-B,,16.889994,28266250240.0,0.6963329779341143,28266250240.0,24.064934358927548,16.889994,0.8466135081307142,0.025653637915816447,0.9743463620841836,0.4802834453919061,0.7750343454951126,8
META,,28.253359,31991250944.0,0.6955183887784219,31991250944.0,24.188728294394615,28.253359,0.8622949470974426,0.05067354586127759,0.9493264541387224,0.4800523878251151,0.7737316314281283,9
XOM,,16.025568,20748249088.0,0.7241074978655129,20748249088.0,23.755727698809807,16.025568,0.8074451486270919,0.023750340877864817,0.9762496591221352,0.4881616659025649,0.7623014569582468,10
TRV,,12.256637,15664374784.0,0.7748406858570833,15664374784.0,23.474654848967738,12.256637,0.7718406036760561,0.015451891723693071,0.9845481082763069,0.5025520943669813,0.754866302263409,11
