Ticker,Sector,FreeCashFlow_Score,P/E_Score_raw,P/E_Score,SharpeRatio_Score,FinalScore,Rank
NVDA,Information Technology,0.9248901642330096,0.0989285812439012,0.9010714187560988,0.6100535978868623,0.8232935706860921,1
AAPL,Information Technology,1.0,0.0706145646274905,0.9293854353725096,0.4424879364758092,0.8115620115544957,2
MSFT,Information Technology,0.9441976761487784,0.0721935534802256,0.9278064465197744,0.4433294021919984,0.789019825073043,3
GOOG,Communication Services,0.9183203779736911,0.0484426137115427,0.9515573862884572,0.4430031157399259,0.7856963017979913,4
GOOGL,Communication Services,0.9183203779736911,0.048320415764802,0.951679584235198,0.4421813018271758,0.7854864170081886,5
PGR,Financials,0.7550258962653837,0.0185432626418904,0.9814567373581096,0.6025875790306229,0.7772236534227732,6
AVGO,Information Technology,0.8210283793575575,0.1832063026459432,0.8167936973540568,0.6726663444937776,0.7752493642973732,7
BRK-B,Unknown,0.8466135081307142,0.0256536379158164,0.9743463620841836,0.4802834453919061,0.7750343454951126,8
META,Communication Services,0.8622949470974426,0.0506735458612775,0.9493264541387224,0.4800523878251151,0.7737316314281283,9
XOM,Energy,0.8074451486270919,0.0237503408778648,0.9762496591221352,0.4881616659025649,0.7623014569582468,10
TRV,Financials,0.7718406036760561,0.015451891723693,0.9845481082763068,0.5025520943669813,0.754866302263409,11
IBM,Information Technology,0.756338015191143,0.0829193929905122,0.9170806070094876,0.5722651698720905,0.7493389391409306,12
MCK,Health Care,0.6311171355488894,0.0499668568977296,0.9500331431022704,0.6795705268290253,0.7413279551989445,13
T,Communication Services,0.7422378991602663,0.0249648011829784,0.9750351988170216,0.4945720647866341,0.7377773387452031,14
AMZN,Consumer Discretionary,0.8584058957749952,0.0662779521775729,0.9337220478224272,0.3807311577050077,0.7376983199682285,15
V,Financials,0.7898255226179138,0.061846483788926,0.938153516211074,0.4671008507620404,0.7375065191390998,16
GEV,Industrials,0.5847960731963636,0.3220332015645828,0.6779667984354172,1.0,0.7373084688091707,17
ACGL,Financials,0.6880299805255786,0.0085933544423851,0.9914066455576148,0.5302331035595192,0.7317039169453716,18
MA,Financials,0.7701739286138876,0.0751367407552296,0.9248632592447704,0.481487733636911,0.7299748693100594,19
NFLX,Communication Services,0.818803679635545,0.1037189261480738,0.8962810738519262,0.4345208693732537,0.726762054821772,20
CB,Financials,0.7464388681674311,0.0150899987360321,0.984910001263968,0.4286383368643362,0.7226400487054636,21
WMT,Consumer Staples,0.6920708067995393,0.0734880581853431,0.9265119418146568,0.5592052347119473,0.722543475677797,22
CVX,Energy,0.7614772816386547,0.0327878411178064,0.9672121588821936,0.4236212871458357,0.7218409464638706,23
GILD,Health Care,0.699298631273076,0.0383072100901547,0.9616927899098452,0.5076171325433656,0.7205124292451937,24
GE,Industrials,0.6317999234279943,0.0829169445839324,0.9170830554160676,0.6405910650037117,0.7200222054971315,25
ABBV,Health Care,0.803043986699258,0.2228362159511689,0.777163784048831,0.5452420769898277,0.7179393529913008,26
CEG,Utilities,0.5825908310080575,0.0643586127921925,0.9356413872078077,0.6775509015638301,0.7169940190347143,27
MO,Consumer Staples,0.6706283085718185,0.0161005873590873,0.9838994126409126,0.5101434179776012,0.7164641726142815,28
AIG,Financials,0.7524200288002995,0.0201464669402778,0.979853533059722,0.4000013221864503,0.7149244680939715,29
PM,Consumer Staples,0.6839814585472459,0.041539732088042,0.958460267911958,0.5110736556715343,0.714452760493946,30
HIG,Financials,0.6534421306174342,0.0146528458694986,0.9853471541305012,0.5207613021785927,0.7132093891397019,31
UNH,Health Care,0.8417892716746429,0.0205571893458538,0.979442810654146,0.2542466664996805,0.7068225518160051,32
TMUS,Communication Services,0.6289652791999721,0.0379372232692316,0.9620627767307685,0.5534432960209795,0.7062379335055131,33
AMGN,Health Care,0.7202248491659283,0.0398064363738593,0.9601935636261408,0.4278441596215154,0.7045012566406682,34
BKNG,Consumer Discretionary,0.6842299968341323,0.0718687234673477,0.9281312765326524,0.5053958239262184,0.703750128871314,35
VZ,Communication Services,0.789074301300896,0.0107290013015174,0.9892709986984826,0.3035121650872858,0.7034646696560889,36
NEM,Materials,0.7039265779467607,0.0210614532128856,0.9789385467871144,0.4260389544007456,0.7030638815350623,37
CSCO,Information Technology,0.7478222317957837,0.047361285514209,0.952638714485791,0.3901662456154053,0.7019703807486725,38
VST,Utilities,0.4931374440568132,0.0631356777416419,0.936864322258358,0.7277591702809858,0.6966420253845285,39
MRK,Health Care,0.7709530184865356,0.0161183449122047,0.9838816550877952,0.3018402633985554,0.6940977829405195,40
AFL,Financials,0.6002812843553527,0.0420424172612628,0.9579575827387372,0.5539923243540974,0.6936974858699915,41
WRB,Financials,0.5870274192070758,0.0251902681633599,0.97480973183664,0.552245794704933,0.6929276256453023,42
CAH,Health Care,0.5155420256191383,0.0395333861968974,0.9604666138031026,0.6585295925960558,0.6919156721674029,43
ANET,Information Technology,0.5756494226945734,0.1181549295053324,0.8818450704946675,0.6519589826506087,0.6904009850214122,44
JNJ,Health Care,0.7279744454424966,0.0300000682119027,0.9699999317880972,0.3568523932365996,0.6892454756844077,45
UBER,Industrials,0.6417333025289872,0.025415728538328,0.974584271461672,0.4660517276469512,0.6888841207441817,46
PG,Consumer Staples,0.7313657354471,0.041240832726505,0.958759167273495,0.3507958867061225,0.6854128103727253,47
CAT,Industrials,0.6146212499258953,0.0407681207176471,0.9592318792823528,0.5027319923839176,0.6844376614702393,48
HD,Consumer Discretionary,0.7271255607158993,0.0506437114105967,0.9493562885894032,0.3563864510566878,0.6825730461801871,49
COP,Energy,0.6743728085872617,0.0155951807555313,0.9844048192444688,0.390345066528954,0.6821740891669315,50
TJX,Consumer Discretionary,0.5667074199243076,0.0585718346659556,0.9414281653340444,0.5762518837491759,0.6819869826946892,51
BMY,Health Care,0.7760253498202534,0.0282745074368522,0.9717254925631478,0.2643643660472545,0.6812370975112221,52
COST,Consumer Staples,0.6483742893979693,0.1074576892334143,0.8925423107665856,0.5046398435714903,0.6785043620606105,53
L,Financials,0.5780943678719815,0.0222576297336115,0.9777423702663884,0.5109732366021618,0.6778524292093576,54
PH,Industrials,0.562951353844515,0.0497943146915927,0.9502056853084072,0.5579449760441045,0.6776257399435596,55
WBD,Communication Services,0.7914611357677737,0.1257583394434508,0.8742416605565492,0.3274786171706073,0.6771005376252563,56
HCA,Health Care,0.6414053731177372,0.0256518192253173,0.9743481807746828,0.4201832339446877,0.674921573662906,57
AMP,Financials,0.6158531994974697,0.0220318897294747,0.9779681102705252,0.4496060319655792,0.6746135224698193,58
GD,Industrials,0.5816824434483372,0.0364195282495631,0.9635804717504368,0.5041266428369294,0.6729851117555449,59
LRCX,Information Technology,0.6116367841860586,0.0558032504860802,0.9441967495139196,0.476657695334311,0.6709110471288926,60
BSX,Health Care,0.5598264730907297,0.1166809755334297,0.8833190244665703,0.5906968828360839,0.6661353614270882,61
CRM,Information Technology,0.7566928178682534,0.06765642269647,0.93234357730353,0.2779832669806961,0.6657751804325692,62
EG,Financials,0.6365437496488114,0.0270260732886385,0.9729739267113614,0.3949216582455089,0.6649861753465857,63
ALL,Financials,0.5530799374225355,0.0098038272795886,0.9901961727204114,0.4879112969502718,0.6646642158702192,64
KLAC,Information Technology,0.5515963613346803,0.0641384411515812,0.9358615588484188,0.543855533355825,0.6645536721951453,65
RCL,Consumer Discretionary,0.5366027861007662,0.0422979851106671,0.9577020148893328,0.5362440654943058,0.662824938555398,66
WDC,Information Technology,0.5706327610363033,0.0412243676326163,0.9587756323673836,0.4875714774340784,0.6621572373549598,67
