Ticker,Sector,FreeCashFlow_Score,P/E_Score_raw,P/E_Score,SharpeRatio_Score,FinalScore,Rank,Momentum_1m,Momentum_3m,Volatility_30d,Trend_50_200,Momentum_1m_Score,Momentum_3m_Score,Volatility_30d_Score,Trend_50_200_Score
NVDA,Information Technology,0.9248901642330096,0.0989285812439012,0.9010714187560988,0.6100535978868623,0.8232935706860921,1,0.08864794842889334,0.28285608333095613,0.021597419383123782,1.2338542772152814,0.46311872043491464,0.419404500626767,0.23888097737268532,0.6421006042252124
AAPL,Information Technology,1.0,0.0706145646274905,0.9293854353725096,0.4424879364758092,0.8115620115544957,2,0.06057671139875387,0.2706324652383658,0.01601288665284345,1.0872090277879518,0.4297609033414543,0.4122119560330093,0.16573720685139573,0.485102705718505
MSFT,Information Technology,0.9441976761487784,0.0721935534802256,0.9278064465197744,0.4433294021919984,0.789019825073043,3,0.030871145134418798,0.0884522386240052,0.009267969477068379,1.1255242231190277,0.39446096821428356,0.3050146111798544,0.07739522768902608,0.5261228217559759
GOOG,Communication Services,0.9183203779736911,0.0484426137115427,0.9515573862884572,0.4430031157399259,0.7856963017979913,4,0.08383152253597204,0.4207552449798484,0.014453326082893276,1.2195517024014662,0.45739523009468586,0.5005462593178939,0.1453107636820384,0.6267883169348103
GOOGL,Communication Services,0.9183203779736911,0.048320415764802,0.951679584235198,0.4421813018271758,0.7854864170081886,5,0.0822936691084164,0.42952660013103205,0.014760668490296648,1.224606832369462,0.4555677568950591,0.5057074450318698,0.1493362002949678,0.6322003216519964
PGR,Financials,0.7550258962653837,0.0185432626418904,0.9814567373581096,0.6025875790306229,0.7772236534227732,6,-0.08229007514189968,-0.14220372809180415,0.01494914046093746,0.9420139123415394,0.2599884017222092,0.16929347576370488,0.15180472384672336,0.3296573156527204
AVGO,Information Technology,0.8210283793575575,0.1832063026459432,0.8167936973540568,0.6726663444937776,0.7752493642973732,7,0.012378209172711152,0.3868653819138166,0.032550598418054806,1.302036732122621,0.37248530769496324,0.48060499892081604,0.3823409323059924,0.7150965054036226
BRK-B,Unknown,0.8466135081307142,0.0256536379158164,0.9743463620841836,0.4802834453919061,0.7750343454951126,8,-0.002754233373009396,0.008767973636374382,0.007272183734775871,0.9985980487440604,0.354503013217685,0.2581272963927736,0.05125529774423786,0.39023609702275697
META,Communication Services,0.8622949470974426,0.0506735458612775,0.9493264541387224,0.4800523878251151,0.7737316314281283,9,-0.04638587997160759,0.0343098738938048,0.014328996062436287,1.111789919584287,0.30265433675359305,0.27315650093919513,0.14368234337824037,0.5114189237379493
XOM,Energy,0.8074451486270919,0.0237503408778648,0.9762496591221352,0.4881616659025649,0.7623014569582468,10,0.021756936029557528,0.036359276432548215,0.011692291961547814,1.0295768630551247,0.3836303047866233,0.2743623975108008,0.10914794470917775,0.42340190883091094
TRV,Financials,0.7718406036760561,0.015451891723693,0.9845481082763068,0.5025520943669813,0.754866302263409,11,-0.04157728187552723,0.00688130741557158,0.013177255434617143,1.052845725961273,0.3083685251091966,0.25701715610338693,0.12859734768567851,0.44831347324347837
IBM,Information Technology,0.756338015191143,0.0829193929905122,0.9170806070094876,0.5722651698720905,0.7493389391409306,12,0.09836386739671799,0.00590282810150855,0.016947472552435006,1.0259893697077245,0.4746644121148216,0.25644140545025307,0.17797800476121947,0.4195611508203506
MCK,Health Care,0.6311171355488894,0.0499668568977296,0.9500331431022704,0.6795705268290253,0.7413279551989445,13,0.1277224913567534,0.09638289162977953,0.018527434646398465,1.0513513354536397,0.5095520662329158,0.3096811162170354,0.1986716581812431,0.4467135839176189
T,Communication Services,0.7422378991602663,0.0249648011829784,0.9750351988170216,0.4945720647866341,0.7377773387452031,14,-0.07876896988666515,-0.05117849096816618,0.013287653688978714,1.0576456457528973,0.2641726271963066,0.22285397415378458,0.13004329580219504,0.45345225082562723
AMZN,Consumer Discretionary,0.8584058957749952,0.0662779521775729,0.9337220478224272,0.3807311577050077,0.7376983199682285,15,-0.09667572678847902,-0.0007504862307676774,0.01570161101158046,1.052664839569624,0.24289353925207294,0.2525265040136488,0.16166025445930823,0.4481198168961488
V,Financials,0.7898255226179138,0.061846483788926,0.938153516211074,0.4671008507620404,0.7375065191390998,16,-0.001197701312157795,-0.08255448141761745,0.012698959501167967,1.0011409562838158,0.3563526827470416,0.20439191089464273,0.12233283645669403,0.39295852506865353
GEV,Industrials,0.5847960731963636,0.3220332015645828,0.6779667984354172,1.0,0.7373084688091707,17,-0.0003831539180538801,0.24156860189402862,0.02695270240200989,1.315882457705795,0.35732063164638295,0.3951103800849075,0.309022135304497,0.7299196914825967
ACGL,Financials,0.6880299805255786,0.0085933544423851,0.9914066455576148,0.5302331035595192,0.7317039169453716,18,-0.04829482195771606,-0.032218338439226835,0.01602310335020461,0.9920340507630067,0.30038588889195217,0.23401038803516305,0.16587102069104218,0.3832087034123121
MA,Financials,0.7701739286138876,0.0751367407552296,0.9248632592447704,0.481487733636911,0.7299748693100594,19,-0.04243000993000445,-0.0478542011685239,0.01190802709585859,1.0402709271079251,0.307355205089093,0.2248100318811603,0.11197354927083548,0.43485093694019034
NFLX,Communication Services,0.818803679635545,0.1037189261480738,0.8962810738519262,0.4345208693732537,0.726762054821772,20,-0.03647291370053807,-0.016821342631336278,0.014063349050578454,1.0947802676333054,0.31443418512183346,0.24307019161535534,0.1402030148446926,0.4932084489966042
CB,Financials,0.7464388681674311,0.0150899987360321,0.984910001263968,0.4286383368643362,0.7226400487054636,21,-0.03337301230722767,-0.0577628250781802,0.011193412598012164,0.9919693291756909,0.3181178825511554,0.21897966162636825,0.10261384070323223,0.3831394127040466
